2015/05/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.1,0.3
2015/06/09,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,-0.2
2015/07/06,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.1,-0.1,0.2
2015/08/05,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.4,0.1
2015/09/04,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.6
2015/10/06,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,-0.2
2015/11/05,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.1,0,0.1
2015/12/04,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,0.1
2016/01/08,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.3,-0.1
2016/02/11,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.4,-0.4,-0.4
2016/03/08,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.2,-0.1,-0.4
2016/04/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.2
2016/05/09,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.1,0.3
2016/06/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0.3
2016/07/07,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0.1
2016/08/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,-0.4,-0.5,0.1
2016/09/06,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.4
2016/10/06,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,-0.1
2016/11/07,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0.1
2016/12/06,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,-0.1,0.1
2017/01/05,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2017/02/14,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,-0.1
2017/03/08,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.2,0
2017/04/06,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.5
2017/05/11,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.2
2017/06/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,0.2
2017/07/06,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0,0.2
2017/08/07,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.3,-0.3,-0.1
2017/09/05,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0,0,-0.3
2017/10/05,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0
2017/11/06,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0.2
2017/12/06,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.2,0.1
2018/01/08,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.0              ,-0.10,-0.10
2018/02/12,3:00:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1             ,-0.10,0.00
2018/03/06,4:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.4              ,0.30,-0.10
2018/04/05,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.4              ,0.20,0.40
2018/05/07,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.2              ,0.30,0.40
2018/06/06,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.4              ,0.30,0.20
2018/07/05,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.0              ,0.10,0.40
2018/08/03,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,-0.2             ,-0.30,0.00
2018/09/04,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.0              ,0.00,-0.20
2018/10/05,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1              ,0.20,0.00
2018/11/01,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2              ,0.20,0.10
2018/12/04,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.3             ,-0.10,0.20
2019/01/09,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.2,-0.3
2019/02/11,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.2,-0.3
2019/03/05,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,-0.3
2019/04/02,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.4,0.4
2019/05/03,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.5
2019/06/03,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.2
2019/07/04,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,0.3
2019/08/02,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.3,0
2019/09/03,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,-0.5
2019/10/02,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.1,0
2019/11/01,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.1,-0.1
2019/12/03,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2020/01/07,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,-0.1
2020/02/10,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,0
2020/03/04,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,-0.2
2020/04/02,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0.1
2020/05/05,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.1,0.1
2020/06/04,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,-0.4
2020/07/02,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,0
2020/08/03,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,-0.2,-0.4,0
