2018/07/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.0              ,0.10,evised From 0.1
2018/08/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3              ,0.40,0.30
2018/09/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2             ,-0.10,0.30
2018/10/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2             ,0.20,evised From -0.2
2018/11/07,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.0              ,0.10,evised From -0.2
2018/12/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3              ,0.20,-0.50
2019/01/07,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.2,evised From 0.3
2019/02/05,6:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.6,-1.5,evised From 0.6
2019/03/05,6:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.3,1.2,evised From -1.6
2019/04/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.2,evised From 1.3
2019/05/06,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0,-0.1,evised From 0.4
2019/06/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-0.4,-0.4,0
2019/07/04,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.4,evised From -0.4
2019/08/02,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,0.2,evised From -0.3
2019/09/04,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-0.6,-0.6,evised From 1.1
2019/10/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,evised From -0.6
2019/11/06,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.1,0.1,evised From 0.3
2019/12/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,-0.3,evised From 0.1
2020/01/07,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1,0.6,evised From -0.6
2020/02/05,6:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.6,-0.9,evised From 1.0
2020/03/04,6:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.6,0.6,evised From -1.6
2020/04/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.9,0.1,evised From 0.6
2020/05/06,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-11.2,-10.5,evised From 0.9
2020/06/04,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-11.7,-15,evised From -11.2
2020/07/06,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,17.8,15,evised From -11.7
2020/08/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,5.7,5.9,evised From 17.8
