2018/05/24,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.3              ,0.30,0.30
2018/08/14,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,0.5              ,0.40,evised From 0.3
2018/08/24,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.5              ,0.50,0.50
2018/11/14,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,-0.2             ,-0.30,0.50
2018/11/23,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,-0.2             ,-0.20,-0.20
2019/01/15,4:00:00,Germany                         ,Low Volatility Expected         ,German GDP Annual                                                                                               ,In Line with Expectation        ,% ,1.5,1.5,2.2
2019/02/14,3:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0,0.1,-0.2
2019/02/22,3:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2019/05/15,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0
2019/05/23,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2019/08/14,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,0.4
2019/08/27,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,evised From -0.1
2019/11/14,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,0.1,-0.1,evised From -0.1
2019/11/22,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,-0.2
2020/01/15,4:00:00,Germany                         ,Low Volatility Expected         ,German GDP Annual                                                                                               ,In Line with Expectation        ,% ,0.6,0.6,1.5
2020/02/14,3:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0,0.1,evised From 0.1
2020/02/25,3:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0.1
2020/05/15,4:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,-2.2,-2.2,-0.1
2020/05/25,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,-2.2,-2.2,-0.1
2020/07/30,4:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,-10.1,-9,evised From -2.2
2020/08/25,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,-9.7,-10.1,evised From -2.2
