2015/12/23,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,1.8,1.5,1.5
2015/12/23,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,0.3,-0.1
2016/01/25,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,0.3,0.2,-0.3
2016/01/25,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,1.8,1.8
2016/02/25,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.5,evised From 0.3
2016/03/24,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.8,1,evised From 0.6
2016/04/22,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,0.3,, 
2016/05/26,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.6,0.2,0.3
2016/06/24,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.5,2,evised From 2.2
2016/07/22,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,0.3,0.2,0.1
2016/08/30,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,In Line with Expectation        ,% ,0.2,0.2,0.3
2016/09/26,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,0,evised From 0.2
2016/10/26,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.2,evised From -0.3
2016/11/25,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-1.4,0,evised From -0.2
2016/12/22,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.2,,evised From -1.4
2017/01/26,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,0.8,,-0.2
2017/02/23,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,0.8,0.8
2017/03/15,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.1,,-0.2
2017/04/07,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,-0.1,1.4
2017/05/09,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,0,0.2,evised From -0.3
2017/06/07,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,1.2,,evised From -0.4
2017/07/07,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.3,evised From -0.1
2017/08/04,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,1.5,,1
2017/09/06,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,0.4,0.6
2017/10/06,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.5,,-0.4
2017/11/07,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,0.9,0.2,evised From -0.3
2017/12/11,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-2.1,,evised From 3.4
