4/1/2013,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.2,  ,3.4
4/9/2013,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.1,3.1,3.1
5/1/2013,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.1,  ,3.2
5/7/2013,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.1,3.1,3.1
6/10/2013,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.1
7/8/2013,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
8/8/2013,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
9/9/2013,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
10/8/2013,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
11/8/2013,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
12/9/2013,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/01/10,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/02/10,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/03/07,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/04/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/05/07,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/06/10,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/07/07,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/08/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/09/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/10/08,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/11/07,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
2014/12/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.1,3.2,vised From 3.2
2015/01/09,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Worse Than Expected             ,% ,3.2,3.1,vised From 3.1
2015/02/10,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.1,3.2,3.2
2015/03/10,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,vised From 3.1
2015/04/10,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.2,3.2,3.2
