2018/07/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Worse Than Expected             ,% ,0.6              ,0.70,0.70
2018/09/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.6              ,0.60,evised From 0.6
2018/10/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.6              ,0.60,0.60
2018/12/28,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.6              ,0.60,0.60
2019/01/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,0.7,0.6,0.6
2019/03/29,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Worse Than Expected             ,% ,0.6,0.7,evised From 0.7
2019/04/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,0.7,0.6,0.6
2019/06/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7,0.7,evised From 0.7
2019/07/31,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Worse Than Expected             ,% ,0.5,0.6,0.7
2019/09/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Worse Than Expected             ,% ,0.4,0.5,0.5
2019/10/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
2019/12/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
2020/01/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,0.5,0.4,0.4
2020/03/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.4,0.5,evised From 0.5
2020/04/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Worse Than Expected             ,% ,-5.2,-4.4,0.4
2020/06/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-5.2,-5.2,0.4
2020/07/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Worse Than Expected             ,% ,-18.5,-16.6,-5.2
