9/13/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0
10/14/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.1,0,0.2
11/14/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.2,0.1
12/13/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.1,-0.2,-0.4
2014/01/17,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,-0.1
2014/02/13,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,0
2014/03/14,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.1,0
2014/04/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,-0.4
2014/05/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,0.2,0
2014/06/17,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,-0.3
2014/07/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,0.1
2014/08/14,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0,0,0
2014/09/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.2,0
2014/10/14,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2014/11/13,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.1,-0.2,-0.1
2014/12/15,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.7,0.2,-0.1
2015/01/19,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.4,-0.6,-0.7
2015/02/13,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.6,-0.6,-0.4
2015/03/16,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1.4,0.4,-0.6
2015/04/16,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,-1.4
