2015/06/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,0.1,-0.1,-0.2
2015/07/14,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.2
2015/07/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.1
2015/08/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/08/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,-0.1,0.1
2015/09/11,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.4,-0.4,0.1
2015/09/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.9,-0.6,-0.4
2015/10/14,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.9,-0.9,-0.9
2015/10/29,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.7,-0.6,-0.9
2015/11/13,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.7,-0.7,-0.9
2015/11/27,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.3,-0.5,-0.7
2015/12/15,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
2015/12/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,-0.3
